,Date,Price,Open,High,Low,Change %,Target
204,"Jan 16, 2019",1.14,1.1414,1.1429,1.1377,-0.15,0
205,"Jan 15, 2019",1.1417,1.1473,1.1494,1.1381,-0.52,0
206,"Jan 14, 2019",1.1477,1.1471,1.1485,1.144,0.07,1
207,"Jan 11, 2019",1.1469,1.1499,1.1542,1.1457,-0.27,0
208,"Jan 10, 2019",1.15,1.1542,1.1572,1.1485,-0.37,0
209,"Jan 09, 2019",1.1543,1.1444,1.1556,1.1435,0.88,1
210,"Jan 08, 2019",1.1442,1.1476,1.1487,1.1422,-0.3,0
211,"Jan 07, 2019",1.1476,1.1392,1.1485,1.1392,0.71,1
212,"Jan 04, 2019",1.1395,1.1393,1.1422,1.1345,0.01,1
213,"Jan 03, 2019",1.1394,1.1345,1.1413,1.1309,0.45,1
214,"Jan 02, 2019",1.1343,1.1464,1.1499,1.1325,-1.06,0
215,"Jan 01, 2019",1.1464,1.1466,1.1481,1.1425,-0.05,0
216,"Dec 31, 2018",1.147,1.1443,1.147,1.1421,0.28,1
217,"Dec 28, 2018",1.1438,1.1429,1.1478,1.1424,0.07,1
218,"Dec 27, 2018",1.143,1.1353,1.1457,1.1349,0.68,1
219,"Dec 26, 2018",1.1353,1.1363,1.1423,1.1342,-0.08,0
220,"Dec 25, 2018",1.1362,1.14,1.1429,1.1361,-0.33,0
221,"Dec 24, 2018",1.14,1.137,1.1439,1.135,0.27,1
222,"Dec 21, 2018",1.1369,1.1447,1.1477,1.1353,-0.67,0
223,"Dec 20, 2018",1.1446,1.1377,1.1487,1.1371,0.61,1
224,"Dec 19, 2018",1.1377,1.1361,1.1442,1.136,0.14,1
225,"Dec 18, 2018",1.1361,1.1346,1.1402,1.1336,0.12,1
226,"Dec 17, 2018",1.1347,1.1308,1.136,1.1299,0.34,1
227,"Dec 14, 2018",1.1309,1.1362,1.1374,1.1268,-0.48,0
228,"Dec 13, 2018",1.1363,1.1369,1.1396,1.133,-0.04,0
229,"Dec 12, 2018",1.1368,1.1317,1.1388,1.1312,0.46,1
230,"Dec 11, 2018",1.1316,1.1361,1.1402,1.1304,-0.35,0
231,"Dec 10, 2018",1.1356,1.1401,1.1444,1.1349,-0.19,0
232,"Dec 07, 2018",1.1378,1.1377,1.1425,1.1359,0.02,1
233,"Dec 06, 2018",1.1376,1.1345,1.1414,1.1321,0.28,1
234,"Dec 05, 2018",1.1344,1.1342,1.1361,1.1309,-0.01,0
235,"Dec 04, 2018",1.1345,1.1354,1.1421,1.1318,-0.08,0
236,"Dec 03, 2018",1.1354,1.1315,1.1382,1.1315,0.33,1
237,"Nov 30, 2018",1.1317,1.1395,1.1402,1.1304,-0.67,0
238,"Nov 29, 2018",1.1393,1.1367,1.1403,1.1348,0.24,1
239,"Nov 28, 2018",1.1366,1.1291,1.1387,1.1264,0.69,1
240,"Nov 27, 2018",1.1288,1.1326,1.1344,1.1276,-0.35,0
241,"Nov 26, 2018",1.1328,1.1343,1.1385,1.1323,-0.11,0
242,"Nov 23, 2018",1.1341,1.1403,1.1422,1.1325,-0.59,0
243,"Nov 22, 2018",1.1408,1.1382,1.1434,1.1378,0.2,1
244,"Nov 21, 2018",1.1385,1.1371,1.1426,1.1363,0.12,1
245,"Nov 20, 2018",1.1371,1.1453,1.1473,1.1357,-0.72,0
246,"Nov 19, 2018",1.1453,1.1403,1.1467,1.1393,0.29,1
247,"Nov 16, 2018",1.142,1.133,1.1423,1.132,0.81,1
248,"Nov 15, 2018",1.1328,1.1309,1.1364,1.1271,0.16,1
249,"Nov 14, 2018",1.131,1.129,1.1349,1.1262,0.17,1
250,"Nov 13, 2018",1.1291,1.1219,1.1296,1.1216,0.65,1
251,"Nov 12, 2018",1.1218,1.1331,1.1333,1.1214,-1.04,0
252,"Nov 09, 2018",1.1336,1.1364,1.1371,1.1315,-0.24,0
253,"Nov 08, 2018",1.1363,1.1425,1.1448,1.1352,-0.55,0
254,"Nov 07, 2018",1.1426,1.1427,1.1502,1.1395,-0.01,0
255,"Nov 06, 2018",1.1427,1.1406,1.144,1.1389,0.18,1
256,"Nov 05, 2018",1.1407,1.1391,1.1425,1.1356,0.18,1
257,"Nov 02, 2018",1.1387,1.1408,1.1458,1.1372,-0.19,0
258,"Nov 01, 2018",1.1409,1.1311,1.1426,1.1306,0.86,1
259,"Oct 31, 2018",1.1312,1.1345,1.1363,1.1301,-0.28,0
260,"Oct 30, 2018",1.1344,1.1372,1.1387,1.1338,-0.25,0
261,"Oct 29, 2018",1.1373,1.1408,1.1418,1.1361,-0.26,0
262,"Oct 26, 2018",1.1403,1.1376,1.1422,1.1334,0.24,1
263,"Oct 25, 2018",1.1376,1.1392,1.1434,1.1355,-0.14,0
264,"Oct 24, 2018",1.1392,1.147,1.1477,1.1378,-0.69,0
265,"Oct 23, 2018",1.1471,1.1466,1.1495,1.1438,0.05,1
266,"Oct 22, 2018",1.1465,1.1507,1.1552,1.1455,-0.43,0
267,"Oct 19, 2018",1.1515,1.1451,1.1536,1.1433,0.54,1
268,"Oct 18, 2018",1.1453,1.15,1.1528,1.1448,-0.42,0
269,"Oct 17, 2018",1.1501,1.1575,1.1585,1.1495,-0.64,0
270,"Oct 16, 2018",1.1575,1.158,1.1623,1.1564,-0.03,0
271,"Oct 15, 2018",1.1579,1.1559,1.1608,1.1537,0.14,1
272,"Oct 12, 2018",1.1563,1.1592,1.1611,1.1534,-0.27,0
273,"Oct 11, 2018",1.1594,1.1519,1.16,1.1517,0.64,1
274,"Oct 10, 2018",1.152,1.1491,1.1547,1.1479,0.26,1
275,"Oct 09, 2018",1.149,1.1491,1.1504,1.143,-0.02,0
276,"Oct 08, 2018",1.1492,1.152,1.1536,1.1459,-0.28,0
277,"Oct 05, 2018",1.1524,1.1513,1.155,1.1483,0.08,1
278,"Oct 04, 2018",1.1515,1.1478,1.1543,1.1464,0.32,1
279,"Oct 03, 2018",1.1478,1.1548,1.1595,1.1465,-0.61,0
280,"Oct 02, 2018",1.1548,1.1578,1.1582,1.1506,-0.26,0
281,"Oct 01, 2018",1.1578,1.1609,1.163,1.1563,-0.27,0
282,"Sep 28, 2018",1.1609,1.1641,1.1652,1.1567,-0.27,0
283,"Sep 27, 2018",1.1641,1.174,1.1759,1.1637,-0.84,0
284,"Sep 26, 2018",1.174,1.1767,1.1799,1.1726,-0.27,0
285,"Sep 25, 2018",1.1772,1.1748,1.1793,1.173,0.2,1
286,"Sep 24, 2018",1.1748,1.1751,1.1817,1.1723,-0.02,0
287,"Sep 21, 2018",1.175,1.1776,1.1804,1.1731,-0.23,0
288,"Sep 20, 2018",1.1777,1.1671,1.1786,1.1665,0.89,1
289,"Sep 19, 2018",1.1673,1.1667,1.1716,1.1648,0.05,1
290,"Sep 18, 2018",1.1667,1.1684,1.1726,1.1651,-0.14,0
291,"Sep 17, 2018",1.1683,1.1623,1.1699,1.1617,0.46,1
292,"Sep 14, 2018",1.163,1.169,1.1724,1.1619,-0.51,0
293,"Sep 13, 2018",1.169,1.1627,1.1703,1.1608,0.55,1
294,"Sep 12, 2018",1.1626,1.1604,1.1651,1.157,0.16,1
295,"Sep 11, 2018",1.1607,1.1594,1.1645,1.1565,0.11,1
296,"Sep 10, 2018",1.1594,1.156,1.1617,1.1526,0.35,1
297,"Sep 07, 2018",1.1553,1.1624,1.1651,1.155,-0.59,0
298,"Sep 06, 2018",1.1622,1.1629,1.166,1.1603,-0.06,0
299,"Sep 05, 2018",1.1629,1.1581,1.164,1.1542,0.41,1
300,"Sep 04, 2018",1.1582,1.1623,1.1629,1.1528,-0.36,0
301,"Sep 03, 2018",1.1624,1.1596,1.1629,1.1583,0.2,1
302,"Aug 31, 2018",1.1601,1.1671,1.1692,1.1585,-0.6,0
303,"Aug 30, 2018",1.1671,1.1707,1.172,1.1641,-0.32,0
304,"Aug 29, 2018",1.1708,1.1695,1.1712,1.1652,0.11,1
305,"Aug 28, 2018",1.1695,1.1678,1.1735,1.1662,0.15,1
306,"Aug 27, 2018",1.1678,1.1631,1.1694,1.1592,0.47,1
307,"Aug 24, 2018",1.1623,1.154,1.1641,1.1533,0.73,1
308,"Aug 23, 2018",1.1539,1.1596,1.1601,1.153,-0.5,0
309,"Aug 22, 2018",1.1597,1.157,1.1624,1.1551,0.22,1
310,"Aug 21, 2018",1.1571,1.1482,1.1602,1.1479,0.78,1
311,"Aug 20, 2018",1.1481,1.1442,1.1486,1.1394,0.37,1
312,"Aug 17, 2018",1.1439,1.1377,1.1447,1.1365,0.54,1
313,"Aug 16, 2018",1.1377,1.1345,1.1411,1.1335,0.28,1
314,"Aug 15, 2018",1.1345,1.1344,1.1357,1.1299,0.01,1
315,"Aug 14, 2018",1.1344,1.141,1.1431,1.133,-0.57,0
316,"Aug 13, 2018",1.1409,1.1389,1.1434,1.1364,-0.02,0
317,"Aug 10, 2018",1.1411,1.1526,1.1537,1.1384,-1.01,0
318,"Aug 09, 2018",1.1527,1.1609,1.162,1.1525,-0.72,0
319,"Aug 08, 2018",1.1611,1.1598,1.1629,1.1571,0.1,1
320,"Aug 07, 2018",1.1599,1.1555,1.161,1.1547,0.39,1
321,"Aug 06, 2018",1.1554,1.1571,1.1574,1.1527,-0.11,0
322,"Aug 03, 2018",1.1567,1.1583,1.1611,1.1559,-0.15,0
323,"Aug 02, 2018",1.1584,1.166,1.1669,1.1582,-0.65,0
324,"Aug 01, 2018",1.166,1.1691,1.1701,1.1656,-0.27,0
325,"Jul 31, 2018",1.1691,1.1706,1.1745,1.1682,-0.13,0
326,"Jul 30, 2018",1.1706,1.166,1.1721,1.1648,0.41,1
327,"Jul 27, 2018",1.1658,1.1643,1.1665,1.1621,0.13,1
328,"Jul 26, 2018",1.1643,1.1728,1.1744,1.1639,-0.72,0
329,"Jul 25, 2018",1.1728,1.1684,1.1739,1.1663,0.36,1
330,"Jul 24, 2018",1.1686,1.1692,1.1719,1.1654,-0.05,0
